,ka_number,class_name,train_name,departure_time,arrival_time,origin_station_code,destination_station_code,origin_station_name,destination_station_name
180,181,KA EKSEKUTIF EKONOMI,KAMANDAKA,05:10:00,07:09:00,PWT,TG,Purwokerto,Tegal
181,182,KA EKSEKUTIF EKONOMI,KAMANDAKA,07:15:00,09:42:00,TG,SMT,Tegal,Semarang Tawang
182,183,KA EKSEKUTIF EKONOMI,KAMANDAKA,10:40:00,13:21:00,SMT,TG,Semarang Tawang,Tegal
183,184,KA EKSEKUTIF EKONOMI,KAMANDAKA,13:33:00,15:28:00,TG,PWT,Tegal,Purwokerto
184,191,KA EKSEKUTIF EKONOMI,KAMANDAKA,18:20:00,20:37:00,SMT,TG,Semarang Tawang,Tegal
185,190,KA EKSEKUTIF EKONOMI,KAMANDAKA,20:42:00,22:34:00,TG,PWT,Tegal,Purwokerto
186,194,KA EKSEKUTIF EKONOMI,KAMANDAKA,13:05:00,13:50:00,CP,KYA,Cilacap,Kroya
187,195,KA EKSEKUTIF EKONOMI,KAMANDAKA,14:10:00,16:30:00,KYA,TG,Kroya,Tegal
188,196,KA EKSEKUTIF EKONOMI,KAMANDAKA,16:36:00,18:46:00,TG,SMT,Tegal,Semarang Tawang
189,197,KA EKSEKUTIF EKONOMI,KAMANDAKA,06:00:00,08:08:00,SMT,TG,Semarang Tawang,Tegal
190,198,KA EKSEKUTIF EKONOMI,KAMANDAKA,08:11:00,10:29:00,TG,KYA,Tegal,Kroya
191,199,KA EKSEKUTIF EKONOMI,KAMANDAKA,10:59:00,11:48:00,KYA,CP,Kroya,Cilacap
192,185,KA EKSEKUTIF EKONOMI,JOGLOSEMARKERTO,17:30:00,19:25:00,PWT,TG,Purwokerto,Tegal
193,186,KA EKSEKUTIF EKONOMI,JOGLOSEMARKERTO,19:29:00,00:16:00,TG,SLO,Tegal,Solo Balapan
194,187,KA EKSEKUTIF EKONOMI,JOGLOSEMARKERTO,05:10:00,09:41:00,SLO,TG,Solo Balapan,Tegal
195,188,KA EKSEKUTIF EKONOMI,JOGLOSEMARKERTO,09:47:00,15:34:00,TG,SLO,Tegal,Solo Balapan
196,189,KA EKSEKUTIF EKONOMI,JOGLOSEMARKERTO,15:50:00,18:02:00,SLO,SMT,Solo Balapan,Semarang Tawang
197,193,KA EKSEKUTIF EKONOMI,JOGLOSEMARKERTO,06:10:00,11:59:00,SLO,TG,Solo Balapan,Tegal
198,192,KA EKSEKUTIF EKONOMI,JOGLOSEMARKERTO,12:03:00,16:40:00,TG,SLO,Tegal,Solo Balapan
199,201,KA EKSEKUTIF EKONOMI,JOGLOSEMARKERTO,10:20:00,13:28:00,YK,CP,Yogyakarta,Cilacap
200,202,KA EKSEKUTIF EKONOMI,JOGLOSEMARKERTO,06:00:00,09:03:00,CP,YK,Cilacap,Yogyakarta
201,203,KA EKSEKUTIF EKONOMI,TEGAL BAHARI,16:00:00,20:30:00,TG,PSE,Tegal,Pasar Senen
202,204,KA EKSEKUTIF EKONOMI,TEGAL BAHARI,10:40:00,15:05:00,PSE,TG,Pasar Senen,Tegal
